local-authority-code,label
LDS,Yorkshire and The Humber
LEC,East Midlands
LEE,South East
LEW,London
LIC,East Midlands
LIF,West Midlands
LIN,Yorkshire and The Humber
LIV,North West
LND,London
LUT,East of England
MAI,South East
MAL,East of England
MAN,North West
MAS,East Midlands
MAV,West Midlands
MDB,North East
MDE,South West
MDW,South East
MEA,Northern Ireland
MEL,East Midlands
MEN,South West
MIK,South East
MLN,Scotland
MOL,South East
MON,Wales
MRT,London
MRY,Scotland
MSS,South East
MSU,East of England
MTY,Wales
MUL,Northern Ireland
NAY,Scotland
NBL,North East
NDE,South West
NEA,East Midlands
NEC,West Midlands
NECA,North East
NED,East Midlands
NEL,Yorkshire and The Humber
NET,North East
NEW,South East
NFK,East of England
NGM,East Midlands
NHE,East of England
NKE,East Midlands
NLK,Scotland
NLN,Yorkshire and The Humber
NMD,Northern Ireland
NNO,East of England
NNT,East Midlands
NOW,East of England
NSM,South West
NTCA,North East
NTL,Wales
NTT,East Midlands
NTY,North East
NUN,West Midlands
NWA,West Midlands
NWL,East Midlands
NWM,London
NWP,Wales
NYK,Yorkshire and The Humber
OAD,East Midlands
OLD,North West
ORK,Scotland
OXF,South East
OXO,South East
PEM,Wales
PEN,North West
PKN,Scotland
PLY,South West
POR,South East
POW,Wales
PRE,North West
PTE,East of England
RCC,North East
RCH,North West
RCT,Wales
RDB,London
RDG,South East
RED,West Midlands
REI,South East
RFW,Scotland
RIB,North West
RIC,London
RIH,Yorkshire and The Humber
ROC,East of England
ROH,South East
ROS,North West
ROT,Yorkshire and The Humber
RUG,West Midlands
RUH,South East
RUN,South East
RUS,East Midlands
RUT,East Midlands
RYE,Yorkshire and The Humber
SAL,East of England
SAW,West Midlands
SAY,Scotland
SCA,East of England
SCB,Scotland
SCE,Yorkshire and The Humber
SCR,Yorkshire and The Humber
SDE,East Midlands
SEG,South West
SEL,Yorkshire and The Humber
SEV,South East
SFK,East of England
SFT,North West
SGC,South West
SHA,South West
SHE,South East
SHF,Yorkshire and The Humber
SHN,North West
SHO,East Midlands
SHR,West Midlands
SKE,East Midlands
SKP,North West
SLA,North West
SLF,North West
SLG,South East
SLK,Scotland
SND,North East
SNO,East of England
SOL,West Midlands
SOM,South West
SOS,East of England
SOX,South East
SPE,South East
SRI,North West
SRY,South East
SSO,South West
SST,West Midlands
STA,West Midlands
STE,West Midlands
STF,West Midlands
STG,Scotland
STH,South East
STN,London
STO,South West
STR,West Midlands
STS,West Midlands
STT,North East
STV,East of England
STY,North East
SUR,South East
SWA,Wales
SWD,South West
SWK,London
SWL,South East
SWT,South West
TAM,North West
TAN,South East
TAW,West Midlands
TEI,South West
TEN,East of England
TES,South East
TEW,South West
TFW,West Midlands
THA,South East
THE,East of England
THR,East of England
TOB,South West
TOF,Wales
TON,South East
TOR,South West
TRF,North West
TUN,South East
TVCA,North East
TWH,London
UTT,East of England
VAL,South East
VGL,Wales
WAE,South East
WAR,West Midlands
WAT,East of England
WAW,West Midlands
WBK,South East
WDE,South West
WDU,Scotland
WEA,South East
WECA,South West
WEW,East of England
WFT,London
WGN,North West
WIL,South West
WIN,South East
WKF,Yorkshire and The Humber
WLA,North West
WLI,East Midlands
WLL,West Midlands
WLN,Scotland
WLV,West Midlands
WMCA,West Midlands
WND,London
WNM,South East
WNT,East Midlands
WOC,West Midlands
WOI,South East
WOK,South East
WOR,West Midlands
WOT,South East
WOX,South East
WRL,North West
WRT,North West
WRX,Wales
WSK,East of England
WSM,London
WSX,South East
WYC,West Midlands
WYCA,Yorkshire and The Humber
WYE,West Midlands
WYR,North West
YOR,Yorkshire and The Humber
ZET,Scotland
